timestamp, uuid, clocks_event_reasons.sw_thermal_slowdown, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/04/02 16:55:33.892, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.82, 300
2026/04/02 16:55:33.934, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 0, 0, 1, 24576, 31, 29.92, 300
2026/04/02 16:55:33.974, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 30.14, 300
2026/04/02 16:55:34.016, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.98, 300
2026/04/02 16:55:39.061, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.77, 300
2026/04/02 16:55:39.098, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 74, 19124, 24576, 39, 254.16, 1590
2026/04/02 16:55:39.105, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 29.99, 300
2026/04/02 16:55:39.142, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.77, 300
2026/04/02 16:55:44.179, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.73, 300
2026/04/02 16:55:44.216, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 43, 260.02, 1590
2026/04/02 16:55:44.222, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 30.08, 300
2026/04/02 16:55:44.257, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.48, 300
2026/04/02 16:55:49.293, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.83, 300
2026/04/02 16:55:49.329, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 46, 256.16, 1560
2026/04/02 16:55:49.335, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 29.48, 300
2026/04/02 16:55:49.371, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.65, 300
2026/04/02 16:55:54.407, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.62, 300
2026/04/02 16:55:54.443, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 49, 264.60, 1575
2026/04/02 16:55:54.450, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 29.83, 300
2026/04/02 16:55:54.486, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 23.05, 300
2026/04/02 16:55:59.523, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.89, 300
2026/04/02 16:55:59.559, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 78, 19124, 24576, 51, 252.93, 1620
2026/04/02 16:55:59.573, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 29.67, 300
2026/04/02 16:55:59.609, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.99, 300
2026/04/02 16:56:04.646, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.75, 300
2026/04/02 16:56:04.683, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 54, 260.29, 1545
2026/04/02 16:56:04.689, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 29.87, 300
2026/04/02 16:56:04.725, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.96, 300
2026/04/02 16:56:09.762, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.56, 300
2026/04/02 16:56:09.799, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 56, 247.63, 1530
2026/04/02 16:56:09.805, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 30.15, 300
2026/04/02 16:56:09.842, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 23.06, 300
2026/04/02 16:56:14.878, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.46, 300
2026/04/02 16:56:14.915, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 59, 251.26, 1530
2026/04/02 16:56:14.922, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 29.95, 300
2026/04/02 16:56:14.958, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.85, 300
2026/04/02 16:56:19.994, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.60, 300
2026/04/02 16:56:20.031, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 73, 19124, 24576, 60, 256.16, 1515
2026/04/02 16:56:20.038, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 30.07, 300
2026/04/02 16:56:20.074, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.82, 300
2026/04/02 16:56:25.111, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.64, 300
2026/04/02 16:56:25.148, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 76, 19124, 24576, 62, 257.02, 1515
2026/04/02 16:56:25.155, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 29.91, 300
2026/04/02 16:56:25.193, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 22.87, 300
2026/04/02 16:56:30.230, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.58, 300
2026/04/02 16:56:30.266, GPU-a723c805-7055-2b43-eb46-b37926a7520d, Not Active, 100, 75, 19124, 24576, 63, 249.43, 1515
2026/04/02 16:56:30.273, GPU-28720b7d-e6b0-a185-d30b-2ec27cb12532, Not Active, 0, 0, 1, 24576, 33, 29.59, 300
2026/04/02 16:56:30.309, GPU-a267a57f-d55d-8277-421e-50df32f51d78, Not Active, 0, 0, 1, 24576, 33, 23.04, 300
2026/04/02 16:56:35.346, GPU-91bec788-61b7-e51c-eeae-a6cdd03f11af, Not Active, 0, 0, 1, 24576, 33, 20.69, 300
